"gene_id","gene_id_clean","symbol","entrez"
"ENSG00000003989.17","ENSG00000003989","SLC7A2","6542"
"ENSG00000004059.10","ENSG00000004059","ARF5","381"
"ENSG00000004139.13","ENSG00000004139","SARM1","23098"
"ENSG00000004142.11","ENSG00000004142","POLDIP2","26073"
"ENSG00000004399.12","ENSG00000004399","PLXND1","23129"
"ENSG00000004455.16","ENSG00000004455","AK2","204"
"ENSG00000004468.12","ENSG00000004468","CD38","952"
"ENSG00000004478.7","ENSG00000004478","FKBP4","2288"
"ENSG00000004487.16","ENSG00000004487","KDM1A","23028"
"ENSG00000004534.14","ENSG00000004534","RBM6","10180"
"ENSG00000004660.14","ENSG00000004660","CAMKK1","84254"
"ENSG00000004700.15","ENSG00000004700","RECQL","5965"
"ENSG00000004766.16","ENSG00000004766","VPS50","55610"
"ENSG00000004776.12","ENSG00000004776","HSPB6","126393"
"ENSG00000004777.18","ENSG00000004777","ARHGAP33","115703"
"ENSG00000004779.9","ENSG00000004779","NDUFAB1","4706"
"ENSG00000004799.7","ENSG00000004799","PDK4","5166"
"ENSG00000004809.13","ENSG00000004809","SLC22A16","85413"
"ENSG00000004838.13","ENSG00000004838","ZMYND10","51364"
"ENSG00000004846.16","ENSG00000004846","ABCB5","340273"
"ENSG00000004848.7","ENSG00000004848","ARX","170302"
"ENSG00000004864.13","ENSG00000004864","SLC25A13","10165"
"ENSG00000004866.20","ENSG00000004866","ST7","7982"
"ENSG00000004897.11","ENSG00000004897","CDC27","996"
"ENSG00000004939.14","ENSG00000004939","SLC4A1","6521"
"ENSG00000004948.14","ENSG00000004948","CALCR","799"
"ENSG00000004961.14","ENSG00000004961","HCCS","3052"
"ENSG00000004975.11","ENSG00000004975","DVL2","1856"
"ENSG00000005001.9","ENSG00000005001","PRSS22","64063"
"ENSG00000005007.12","ENSG00000005007","UPF1","5976"
"ENSG00000005020.12","ENSG00000005020","SKAP2","8935"
"ENSG00000005022.5","ENSG00000005022","SLC25A5","292"
"ENSG00000005059.15","ENSG00000005059","MCUB","55013"
"ENSG00000005073.5","ENSG00000005073","HOXA11","3207"
"ENSG00000005075.15","ENSG00000005075","POLR2J","5439"
"ENSG00000005100.12","ENSG00000005100","DHX33","56919"
"ENSG00000005102.12","ENSG00000005102","MEOX1","4222"
"ENSG00000005108.15","ENSG00000005108","THSD7A","221981"
"ENSG00000005156.11","ENSG00000005156","LIG3","3980"
"ENSG00000005175.9","ENSG00000005175","RPAP3","79657"
"ENSG00000005187.11","ENSG00000005187","ACSM3","6296"
"ENSG00000005189.19","ENSG00000005189","REXO5","81691"
"ENSG00000005194.14","ENSG00000005194","CIAPIN1","57019"
"ENSG00000005206.16","ENSG00000005206","SPPL2B","56928"
"ENSG00000005238.19","ENSG00000005238","ATOSB","80256"
"ENSG00000005243.9","ENSG00000005243","COPZ2","51226"
"ENSG00000005249.12","ENSG00000005249","PRKAR2B","5577"
"ENSG00000005302.18","ENSG00000005302","MSL3","10943"
"ENSG00000005339.14","ENSG00000005339","CREBBP","1387"
"ENSG00000005379.16","ENSG00000005379","TSPOAP1","9256"
"ENSG00000005381.7","ENSG00000005381","MPO","4353"
"ENSG00000005421.8","ENSG00000005421","PON1","5444"
"ENSG00000005436.13","ENSG00000005436","GCFC2","6936"
"ENSG00000005448.16","ENSG00000005448","WDR54","84058"
"ENSG00000005469.11","ENSG00000005469","CROT","54677"
"ENSG00000005471.17","ENSG00000005471","ABCB4","5244"
"ENSG00000005483.20","ENSG00000005483","KMT2E","55904"
"ENSG00000005486.16","ENSG00000005486","RHBDD2","57414"
"ENSG00000005513.9","ENSG00000005513","SOX8","30812"
"ENSG00000005700.14","ENSG00000005700","IBTK","25998"
"ENSG00000005801.17","ENSG00000005801","ZNF195","7748"
"ENSG00000005810.17","ENSG00000005810","MYCBP2","23077"
"ENSG00000005812.10","ENSG00000005812","FBXL3","26224"
"ENSG00000005844.17","ENSG00000005844","ITGAL","3683"
"ENSG00000005882.11","ENSG00000005882","PDK2","5164"
"ENSG00000005884.17","ENSG00000005884","ITGA3","3675"
"ENSG00000005889.15","ENSG00000005889","ZFX","7543"
"ENSG00000005893.15","ENSG00000005893","LAMP2","3920"
"ENSG00000005961.18","ENSG00000005961","ITGA2B","3674"
"ENSG00000005981.12","ENSG00000005981","ASB4","51666"
"ENSG00000006007.11","ENSG00000006007","GDE1","51573"
"ENSG00000006015.17","ENSG00000006015","REX1BD","55049"
"ENSG00000006016.10","ENSG00000006016","CRLF1","9244"
"ENSG00000006025.11","ENSG00000006025","OSBPL7","114881"
"ENSG00000006042.11","ENSG00000006042","TMEM98","26022"
"ENSG00000006047.12","ENSG00000006047","YBX2","51087"
"ENSG00000006059.3","ENSG00000006059","KRT33A","3883"
"ENSG00000006062.15","ENSG00000006062","MAP3K14","9020"
"ENSG00000006071.13","ENSG00000006071","ABCC8","6833"
"ENSG00000006116.3","ENSG00000006116","CACNG3","10368"
"ENSG00000006118.14","ENSG00000006118","TMEM132A","54972"
"ENSG00000006125.17","ENSG00000006125","AP2B1","163"
"ENSG00000006128.11","ENSG00000006128","TAC1","6863"
"ENSG00000006194.9","ENSG00000006194","ZNF263","10127"
"ENSG00000006210.6","ENSG00000006210","CX3CL1","6376"
"ENSG00000006282.20","ENSG00000006282","SPATA20","64847"
"ENSG00000006283.17","ENSG00000006283","CACNA1G","8913"
"ENSG00000006327.13","ENSG00000006327","TNFRSF12A","51330"
"ENSG00000006377.10","ENSG00000006377","DLX6","1750"
"ENSG00000006432.15","ENSG00000006432","MAP3K9","4293"
"ENSG00000006451.7","ENSG00000006451","RALA","5898"
"ENSG00000006453.13","ENSG00000006453","BAIAP2L1","55971"
"ENSG00000006459.10","ENSG00000006459","KDM7A","80853"
"ENSG00000006468.13","ENSG00000006468","ETV1","2115"
"ENSG00000006530.16","ENSG00000006530","AGK","55750"
"ENSG00000006534.15","ENSG00000006534","ALDH3B1","221"
"ENSG00000006555.10","ENSG00000006555","TTC22","55001"
"ENSG00000006576.16","ENSG00000006576","PHTF2","57157"
"ENSG00000006606.8","ENSG00000006606","CCL26","10344"
"ENSG00000006607.13","ENSG00000006607","FARP2","9855"
"ENSG00000006611.15","ENSG00000006611","USH1C","10083"
"ENSG00000006625.17","ENSG00000006625","GGCT","79017"
"ENSG00000006634.7","ENSG00000006634","DBF4","10926"
"ENSG00000006638.11","ENSG00000006638","TBXA2R","6915"
"ENSG00000006652.13","ENSG00000006652","IFRD1","3475"
"ENSG00000006659.12","ENSG00000006659","LGALS14","56891"
"ENSG00000006695.10","ENSG00000006695","COX10","1352"
"ENSG00000006704.10","ENSG00000006704","GTF2IRD1","9569"
"ENSG00000006712.14","ENSG00000006712","PAF1","54623"
"ENSG00000006715.15","ENSG00000006715","VPS41","27072"
"ENSG00000006740.16","ENSG00000006740","ARHGAP44","9912"
"ENSG00000006744.18","ENSG00000006744","ELAC2","60528"
"ENSG00000006747.14","ENSG00000006747","SCIN","85477"
"ENSG00000006756.15","ENSG00000006756","ARSD","414"
"ENSG00000006757.11","ENSG00000006757","PNPLA4","8228"
"ENSG00000006788.13","ENSG00000006788","MYH13","8735"
"ENSG00000006831.9","ENSG00000006831","ADIPOR2","79602"
"ENSG00000006837.11","ENSG00000006837","CDKL3","51265"
"ENSG00000007001.12","ENSG00000007001","UPP2","151531"
"ENSG00000007038.10","ENSG00000007038","PRSS21","10942"
"ENSG00000007047.14","ENSG00000007047","MARK4","57787"
"ENSG00000007062.11","ENSG00000007062","PROM1","8842"
"ENSG00000007080.10","ENSG00000007080","CCDC124","115098"
"ENSG00000007129.17","ENSG00000007129","CEACAM21","90273"
"ENSG00000007168.12","ENSG00000007168","PAFAH1B1","5048"
"ENSG00000007171.17","ENSG00000007171","NOS2","4843"
"ENSG00000007174.17","ENSG00000007174","DNAH9","1770"
"ENSG00000007202.14","ENSG00000007202","BLTP2","9703"
"ENSG00000007216.14","ENSG00000007216","SLC13A2","9058"
"ENSG00000007237.18","ENSG00000007237","GAS7","8522"
"ENSG00000007255.10","ENSG00000007255","TRAPPC6A","79090"
"ENSG00000007264.14","ENSG00000007264","MATK","4145"
"ENSG00000007306.14","ENSG00000007306","CEACAM7","1087"
"ENSG00000007312.12","ENSG00000007312","CD79B","974"
"ENSG00000007314.12","ENSG00000007314","SCN4A","6329"
"ENSG00000007341.18","ENSG00000007341","ST7L","54879"
"ENSG00000007350.16","ENSG00000007350","TKTL1","8277"
"ENSG00000007372.22","ENSG00000007372","PAX6","5080"
"ENSG00000007376.7","ENSG00000007376","RPUSD1","113000"
"ENSG00000007384.15","ENSG00000007384","RHBDF1","64285"
"ENSG00000007392.16","ENSG00000007392","LUC7L","55692"
"ENSG00000007402.11","ENSG00000007402","CACNA2D2","9254"
"ENSG00000007516.13","ENSG00000007516","BAIAP3","8938"
"ENSG00000007520.3","ENSG00000007520","TSR3","115939"
"ENSG00000007541.16","ENSG00000007541","PIGQ","9091"
"ENSG00000007545.15","ENSG00000007545","CRAMP1","57585"
"ENSG00000007866.20","ENSG00000007866","TEAD3","7005"
"ENSG00000007908.15","ENSG00000007908","SELE","6401"
"ENSG00000007923.15","ENSG00000007923","DNAJC11","55735"
"ENSG00000007933.12","ENSG00000007933","FMO3","2328"
"ENSG00000007944.14","ENSG00000007944","MYLIP","29116"
"ENSG00000007952.17","ENSG00000007952","NOX1","27035"
"ENSG00000007968.6","ENSG00000007968","E2F2","1870"
"ENSG00000008018.8","ENSG00000008018","PSMB1","5689"
"ENSG00000008056.13","ENSG00000008056","SYN1","6853"
"ENSG00000008083.13","ENSG00000008083","JARID2","3720"
"ENSG00000008086.11","ENSG00000008086","CDKL5","6792"
"ENSG00000008118.9","ENSG00000008118","CAMK1G","57172"
"ENSG00000008128.22","ENSG00000008128","CDK11A","728642"
"ENSG00000008130.15","ENSG00000008130","NADK","65220"
"ENSG00000008196.12","ENSG00000008196","TFAP2B","7021"
"ENSG00000008197.4","ENSG00000008197","TFAP2D","83741"
"ENSG00000008226.19","ENSG00000008226","DLEC1","9940"
"ENSG00000008256.15","ENSG00000008256","CYTH3","9265"
"ENSG00000008277.14","ENSG00000008277","ADAM22","53616"
"ENSG00000008282.8","ENSG00000008282","SYPL1","6856"
"ENSG00000008283.15","ENSG00000008283","CYB561","1534"
"ENSG00000008294.20","ENSG00000008294","SPAG9","9043"
"ENSG00000008300.16","ENSG00000008300","CELSR3","1951"
"ENSG00000008311.14","ENSG00000008311","AASS","10157"
"ENSG00000008323.15","ENSG00000008323","PLEKHG6","55200"
"ENSG00000008324.11","ENSG00000008324","SS18L2","51188"
"ENSG00000008382.15","ENSG00000008382","MPND","84954"
"ENSG00000008394.12","ENSG00000008394","MGST1","4257"
"ENSG00000008405.11","ENSG00000008405","CRY1","1407"
"ENSG00000008438.4","ENSG00000008438","PGLYRP1","8993"
"ENSG00000008441.16","ENSG00000008441","NFIX","4784"
"ENSG00000008513.15","ENSG00000008513","ST3GAL1","6482"
"ENSG00000008516.16","ENSG00000008516","MMP25","64386"
"ENSG00000008517.16","ENSG00000008517","IL32","9235"
"ENSG00000008710.19","ENSG00000008710","PKD1","5310"
"ENSG00000008735.13","ENSG00000008735","MAPK8IP2","23542"
"ENSG00000008838.19","ENSG00000008838","MED24","9862"
"ENSG00000008853.16","ENSG00000008853","RHOBTB2","23221"
"ENSG00000008869.11","ENSG00000008869","HEATR5B","54497"
"ENSG00000008952.16","ENSG00000008952","SEC62","7095"
"ENSG00000008988.9","ENSG00000008988","RPS20","6224"
"ENSG00000009307.15","ENSG00000009307","CSDE1","7812"
"ENSG00000009335.17","ENSG00000009335","UBE3C","9690"
"ENSG00000009413.15","ENSG00000009413","REV3L","5980"
"ENSG00000009694.13","ENSG00000009694","TENM1","10178"
"ENSG00000009709.11","ENSG00000009709","PAX7","5081"
"ENSG00000009724.16","ENSG00000009724","MASP2","10747"
"ENSG00000009765.14","ENSG00000009765","IYD","389434"
"ENSG00000009780.15","ENSG00000009780","FAM76A","199870"
"ENSG00000009790.14","ENSG00000009790","TRAF3IP3","80342"
"ENSG00000009830.11","ENSG00000009830","POMT2","29954"
"ENSG00000009844.15","ENSG00000009844","VTA1","51534"
"ENSG00000009950.15","ENSG00000009950","MLXIPL","51085"
"ENSG00000009954.10","ENSG00000009954","BAZ1B","9031"
"ENSG00000010017.12","ENSG00000010017","RANBP9","10048"
"ENSG00000010030.13","ENSG00000010030","ETV7","51513"
"ENSG00000010072.15","ENSG00000010072","SPRTN","83932"
"ENSG00000010165.19","ENSG00000010165","METTL13","51603"
"ENSG00000010219.13","ENSG00000010219","DYRK4","8798"
"ENSG00000010244.18","ENSG00000010244","ZNF207","7756"
"ENSG00000010256.10","ENSG00000010256","UQCRC1","7384"
"ENSG00000010270.13","ENSG00000010270","STARD3NL","83930"
"ENSG00000010278.13","ENSG00000010278","CD9","928"
"ENSG00000010282.14","ENSG00000010282","HHATL","57467"
"ENSG00000010292.12","ENSG00000010292","NCAPD2","9918"
"ENSG00000010295.19","ENSG00000010295","IFFO1","25900"
"ENSG00000010310.8","ENSG00000010310","GIPR","2696"
"ENSG00000010318.20","ENSG00000010318","PHF7","51533"
"ENSG00000010319.6","ENSG00000010319","SEMA3G","56920"
"ENSG00000010322.15","ENSG00000010322","NISCH","11188"
"ENSG00000010327.10","ENSG00000010327","STAB1","23166"
"ENSG00000010361.13","ENSG00000010361","FUZ","80199"
"ENSG00000010379.15","ENSG00000010379","SLC6A13","6540"
"ENSG00000010404.17","ENSG00000010404","IDS","3423"
"ENSG00000010438.16","ENSG00000010438","PRSS3","5646"
"ENSG00000010539.11","ENSG00000010539","ZNF200","7752"
"ENSG00000010610.9","ENSG00000010610","CD4","920"
"ENSG00000010626.14","ENSG00000010626","LRRC23","10233"
"ENSG00000010671.15","ENSG00000010671","BTK","695"
"ENSG00000010704.18","ENSG00000010704","HFE","3077"
"ENSG00000010803.16","ENSG00000010803","SCMH1","22955"
"ENSG00000010810.17","ENSG00000010810","FYN","2534"
"ENSG00000010818.9","ENSG00000010818","HIVEP2","3097"
"ENSG00000010932.16","ENSG00000010932","FMO1","2326"
"ENSG00000011007.12","ENSG00000011007","ELOA","6924"
"ENSG00000011009.10","ENSG00000011009","LYPLA2","11313"
"ENSG00000011021.22","ENSG00000011021","CLCN6","1185"
"ENSG00000011028.13","ENSG00000011028","MRC2","9902"
"ENSG00000011052.21","ENSG00000011052","NME1-NME2","654364"
"ENSG00000011083.8","ENSG00000011083","SLC6A7","6534"
"ENSG00000011105.13","ENSG00000011105","TSPAN9","10867"
"ENSG00000011114.14","ENSG00000011114","BTBD7","55727"
"ENSG00000011132.11","ENSG00000011132","APBA3","9546"
"ENSG00000011143.16","ENSG00000011143","MKS1","54903"
"ENSG00000011198.9","ENSG00000011198","ABHD5","51099"
"ENSG00000011201.11","ENSG00000011201","ANOS1","3730"
"ENSG00000011243.17","ENSG00000011243","AKAP8L","26993"
"ENSG00000011258.15","ENSG00000011258","MBTD1","54799"
"ENSG00000011260.13","ENSG00000011260","UTP18","51096"
"ENSG00000011275.18","ENSG00000011275","RNF216","54476"
"ENSG00000011295.15","ENSG00000011295","TTC19","54902"
"ENSG00000011304.19","ENSG00000011304","PTBP1","5725"
"ENSG00000011332.19","ENSG00000011332","DPF1","8193"
"ENSG00000011347.9","ENSG00000011347","SYT7","9066"
"ENSG00000011376.10","ENSG00000011376","LARS2","23395"
"ENSG00000011405.13","ENSG00000011405","PIK3C2A","5286"
"ENSG00000011422.11","ENSG00000011422","PLAUR","5329"
"ENSG00000011426.10","ENSG00000011426","ANLN","54443"
"ENSG00000011451.19","ENSG00000011451","WIZ","58525"
"ENSG00000011454.16","ENSG00000011454","RABGAP1","23637"
"ENSG00000011465.16","ENSG00000011465","DCN","1634"
"ENSG00000011478.11","ENSG00000011478","QPCTL","54814"
"ENSG00000011485.14","ENSG00000011485","PPP5C","5536"
"ENSG00000011523.13","ENSG00000011523","CEP68","23177"
"ENSG00000011566.14","ENSG00000011566","MAP4K3","8491"
"ENSG00000011590.13","ENSG00000011590","ZBTB32","27033"
"ENSG00000011600.11","ENSG00000011600","TYROBP","7305"
"ENSG00000011638.10","ENSG00000011638","LDAF1","57146"
"ENSG00000011677.12","ENSG00000011677","GABRA3","2556"
"ENSG00000012048.21","ENSG00000012048","BRCA1","672"
"ENSG00000012061.15","ENSG00000012061","ERCC1","2067"
"ENSG00000012124.16","ENSG00000012124","CD22","933"
"ENSG00000012171.19","ENSG00000012171","SEMA3B","7869"
"ENSG00000012174.11","ENSG00000012174","MBTPS2","51360"
"ENSG00000012211.12","ENSG00000012211","PRICKLE3","4007"
"ENSG00000012223.12","ENSG00000012223","LTF","4057"
"ENSG00000012232.8","ENSG00000012232","EXTL3","2137"
"ENSG00000012504.14","ENSG00000012504","NR1H4","9971"
"ENSG00000012660.13","ENSG00000012660","ELOVL5","60481"
"ENSG00000012779.10","ENSG00000012779","ALOX5","240"
"ENSG00000012817.15","ENSG00000012817","KDM5D","8284"
"ENSG00000012822.15","ENSG00000012822","CALCOCO1","57658"
"ENSG00000012963.14","ENSG00000012963","UBR7","55148"
"ENSG00000012983.11","ENSG00000012983","MAP4K5","11183"
"ENSG00000013016.15","ENSG00000013016","EHD3","30845"
"ENSG00000013275.7","ENSG00000013275","PSMC4","5704"
"ENSG00000013288.8","ENSG00000013288","MAN2B2","23324"
"ENSG00000013293.5","ENSG00000013293","SLC7A14","57709"
"ENSG00000013297.11","ENSG00000013297","CLDN11","5010"
"ENSG00000013306.15","ENSG00000013306","SLC25A39","51629"
"ENSG00000013364.18","ENSG00000013364","MVP","9961"
"ENSG00000013374.16","ENSG00000013374","NUB1","51667"
"ENSG00000013375.15","ENSG00000013375","PGM3","5238"
"ENSG00000013392.7","ENSG00000013392","RWDD2A","112611"
"ENSG00000013441.15","ENSG00000013441","CLK1","1195"
"ENSG00000013503.9","ENSG00000013503","POLR3B","55703"
"ENSG00000013523.9","ENSG00000013523","ANGEL1","23357"
"ENSG00000013561.17","ENSG00000013561","RNF14","9604"
"ENSG00000013563.13","ENSG00000013563","DNASE1L1","1774"
"ENSG00000013573.16","ENSG00000013573","DDX11","1663"
"ENSG00000013583.9","ENSG00000013583","HEBP1","50865"
"ENSG00000013588.8","ENSG00000013588","GPRC5A","9052"
"ENSG00000013619.13","ENSG00000013619","MAMLD1","10046"
"ENSG00000013725.14","ENSG00000013725","CD6","923"
"ENSG00000013810.18","ENSG00000013810","TACC3","10460"
"ENSG00000014123.9","ENSG00000014123","UFL1","23376"
"ENSG00000014138.8","ENSG00000014138","POLA2","23649"
"ENSG00000014164.6","ENSG00000014164","ZC3H3","23144"
"ENSG00000014216.15","ENSG00000014216","CAPN1","823"
"ENSG00000014257.15","ENSG00000014257","ACP3","55"
"ENSG00000014641.17","ENSG00000014641","MDH1","4190"
"ENSG00000014824.13","ENSG00000014824","SLC30A9","10463"
"ENSG00000014914.20","ENSG00000014914","MTMR11","10903"
"ENSG00000014919.12","ENSG00000014919","COX15","1355"
"ENSG00000015133.18","ENSG00000015133","CCDC88C","440193"
"ENSG00000015153.14","ENSG00000015153","YAF2","10138"
"ENSG00000015171.19","ENSG00000015171","ZMYND11","10771"
"ENSG00000015285.10","ENSG00000015285","WAS","7454"
"ENSG00000015413.9","ENSG00000015413","DPEP1","1800"
"ENSG00000015475.18","ENSG00000015475","BID","637"
"ENSG00000015479.18","ENSG00000015479","MATR3","9782"
"ENSG00000015520.14","ENSG00000015520","NPC1L1","29881"
"ENSG00000015532.9","ENSG00000015532","XYLT2","64132"
"ENSG00000015568.12","ENSG00000015568","RGPD5","84220"
"ENSG00000015592.16","ENSG00000015592","STMN4","81551"
"ENSG00000015676.17","ENSG00000015676","NUDCD3","23386"
"ENSG00000016082.14","ENSG00000016082","ISL1","3670"
"ENSG00000016391.10","ENSG00000016391","CHDH","55349"
"ENSG00000016402.13","ENSG00000016402","IL20RA","53832"
"ENSG00000016490.15","ENSG00000016490","CLCA1","1179"
"ENSG00000016602.9","ENSG00000016602","CLCA4","22802"
"ENSG00000016864.18","ENSG00000016864","GLT8D1","55830"
"ENSG00000017260.19","ENSG00000017260","ATP2C1","27032"
"ENSG00000017427.16","ENSG00000017427","IGF1","3479"
"ENSG00000017483.14","ENSG00000017483","SLC38A5","92745"
"ENSG00000017797.12","ENSG00000017797","RALBP1","10928"
"ENSG00000018189.12","ENSG00000018189","RUFY3","22902"
"ENSG00000018236.14","ENSG00000018236","CNTN1","1272"
"ENSG00000018280.16","ENSG00000018280","SLC11A1","6556"
"ENSG00000018408.14","ENSG00000018408","WWTR1","25937"
"ENSG00000018510.14","ENSG00000018510","AGPS","8540"
"ENSG00000018607.6","ENSG00000018607",NA,NA
"ENSG00000018610.14","ENSG00000018610","STEEP1","63932"
"ENSG00000018625.14","ENSG00000018625","ATP1A2","477"
"ENSG00000018699.12","ENSG00000018699","TTC27","55622"
"ENSG00000018869.16","ENSG00000018869","ZNF582","147948"
"ENSG00000019102.11","ENSG00000019102","VSIG2","23584"
"ENSG00000019144.18","ENSG00000019144","PHLDB1","23187"
"ENSG00000019169.10","ENSG00000019169","MARCO","8685"
"ENSG00000019186.9","ENSG00000019186","CYP24A1","1591"
"ENSG00000019485.13","ENSG00000019485","PRDM11","56981"
"ENSG00000019505.7","ENSG00000019505","SYT13","57586"
"ENSG00000019549.11","ENSG00000019549","SNAI2","6591"
"ENSG00000019582.14","ENSG00000019582","CD74","972"
"ENSG00000019991.16","ENSG00000019991","HGF","3082"
"ENSG00000019995.6","ENSG00000019995","ZRANB1","54764"
"ENSG00000020129.15","ENSG00000020129","NCDN","23154"
"ENSG00000020181.17","ENSG00000020181","ADGRA2","25960"
"ENSG00000020219.9","ENSG00000020219","CCT8L1P","155100"
"ENSG00000020256.19","ENSG00000020256","ZFP64","55734"
"ENSG00000020426.10","ENSG00000020426","MNAT1","4331"
"ENSG00000020577.13","ENSG00000020577","SAMD4A","23034"
"ENSG00000020633.18","ENSG00000020633","RUNX3","864"
"ENSG00000020922.12","ENSG00000020922","MRE11","4361"
"ENSG00000021300.13","ENSG00000021300","PLEKHB1","58473"
"ENSG00000021355.12","ENSG00000021355","SERPINB1","1992"
"ENSG00000021461.16","ENSG00000021461","CYP3A43","64816"
"ENSG00000021488.12","ENSG00000021488","SLC7A9","11136"
"ENSG00000021574.12","ENSG00000021574","SPAST","6683"
"ENSG00000021645.18","ENSG00000021645","NRXN3","9369"
"ENSG00000021762.19","ENSG00000021762","OSBPL5","114879"
"ENSG00000021776.10","ENSG00000021776","AQR","9716"
"ENSG00000021826.15","ENSG00000021826","CPS1","1373"
"ENSG00000021852.12","ENSG00000021852","C8B","732"
"ENSG00000022267.16","ENSG00000022267","FHL1","2273"
"ENSG00000022277.12","ENSG00000022277","RTF2","51507"
"ENSG00000022355.16","ENSG00000022355","GABRA1","2554"
"ENSG00000022556.15","ENSG00000022556","NLRP2","55655"
"ENSG00000022567.9","ENSG00000022567","SLC45A4","57210"
"ENSG00000022840.15","ENSG00000022840","RNF10","9921"
"ENSG00000022976.15","ENSG00000022976","ZNF839","55778"
"ENSG00000023041.11","ENSG00000023041","ZDHHC6","64429"
"ENSG00000023171.17","ENSG00000023171","GRAMD1B","57476"
"ENSG00000023191.16","ENSG00000023191","RNH1","6050"
"ENSG00000023228.13","ENSG00000023228","NDUFS1","4719"
"ENSG00000023287.12","ENSG00000023287","RB1CC1","9821"
"ENSG00000023318.7","ENSG00000023318","ERP44","23071"
"ENSG00000023330.14","ENSG00000023330","ALAS1","211"
"ENSG00000023445.13","ENSG00000023445","BIRC3","330"
"ENSG00000023516.8","ENSG00000023516","AKAP11","11215"
"ENSG00000023572.9","ENSG00000023572","GLRX2","51022"
"ENSG00000023608.4","ENSG00000023608","SNAPC1","6617"
"ENSG00000023697.12","ENSG00000023697","DERA","51071"
"ENSG00000023734.10","ENSG00000023734","STRAP","11171"
"ENSG00000023839.11","ENSG00000023839","ABCC2","1244"
"ENSG00000023892.10","ENSG00000023892","DEF6","50619"
"ENSG00000023902.13","ENSG00000023902","PLEKHO1","51177"
"ENSG00000023909.9","ENSG00000023909","GCLM","2730"
"ENSG00000024048.10","ENSG00000024048","UBR2","23304"
"ENSG00000024422.11","ENSG00000024422","EHD2","30846"
"ENSG00000024526.16","ENSG00000024526","DEPDC1","55635"
"ENSG00000024862.17","ENSG00000024862","CCDC28A","25901"
"ENSG00000025039.14","ENSG00000025039","RRAGD","58528"
"ENSG00000025156.12","ENSG00000025156","HSF2","3298"
"ENSG00000025293.16","ENSG00000025293","PHF20","51230"
"ENSG00000025423.11","ENSG00000025423","HSD17B6","8630"
"ENSG00000025434.18","ENSG00000025434","NR1H3","10062"
"ENSG00000025708.13","ENSG00000025708","TYMP","1890"
"ENSG00000025770.18","ENSG00000025770","NCAPH2","29781"
"ENSG00000025772.7","ENSG00000025772","TOMM34","10953"
"ENSG00000025796.13","ENSG00000025796","SEC63","11231"
"ENSG00000025800.13","ENSG00000025800","KPNA6","23633"
"ENSG00000026025.15","ENSG00000026025","VIM","7431"
